""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"signature_file"	"complete_signature_file"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"SPCS3"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"SPCS3"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"MKI67"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"MKI67"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"HSPA5"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"HSPA5"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"MTDH"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"MTDH"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"JCHAIN"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"IGJ"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"SHCBP1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"SHCBP1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"HSP90B1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"HSP90B1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"CHEK1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"CHEK1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"UBE2J1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"UBE2J1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"DTL"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"DTL"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"NT5DC2"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"NT5DC2"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"KIF11"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"KIF11"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"CCNB2"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"CCNB2"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"PDIA4"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"PDIA4"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"KCNN3"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"KCNN3"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"APOBEC3B"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"APOBEC3B"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"SEC24A"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"SEC24A"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"SLC44A1"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"SLC44A1"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"FBXO5"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"FBXO5"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"MANEA"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"MANEA"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"DLGAP5"	"gene expression"	"positively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"1"	"222"	"DLGAP5"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_222.txt"	"hipciof_gene_corr_complete_24725414_222.txt"
""	"20140717-hipciof_gene_corr_24725414"	"2014.07.17"	"hipciof_gene_corr_33"	"peripheral blood mononuclear cell"	"HDX"	"gene expression"	"negatively"	"none"	"7"	"Days"	"2009"	"Fluvirin; Pandemrix"	""	"correlated with cell frequency CD27hi CD38hi of CD20- B cells (Plasmablasts) and CD38+ of IgD-CD27+ memory B cells"	"time of vaccination (first dose)"	"adults"	"24725414"	"2014"	"Fig 7"	""	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24725414"	"adults"	""	""	""	"2"	"223"	"HDX"	"VO_0000046"	"VO_0000410"	"influenza A virus (A/Brisbane/59/2007(H1N1))"	"influenza A virus (A/Brisbane/10/2007(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"influenza A virus (A/California/7/2009(H1N1))"	"hipciof_gene_corr_24725414_223.txt"	"hipciof_gene_corr_complete_24725414_223.txt"
