""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"target_pathogen_4"	"target_pathogen_5"	"target_pathogen_6"	"target_pathogen_7"	"signature_file"	"complete_signature_file"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"PADI2"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"PADI2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"RIPOR2"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"FAM65B"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"FRAT2"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"FRAT2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"SELPLG"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"SELPLG"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"CD300A"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"CD300A"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"KCNMB1"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"KCNMB1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"NCF2"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"NCF2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"CASP1"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"CASP1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"LYL1"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"LYL1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"TLR5"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"TLR5"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"ITGAX"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"ITGAX"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"RTN1"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"RTN1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"NOL12"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"NOL12"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"TRIOBP"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"TRIOBP"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"SLC11A1"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"SLC11A1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"WSB1"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"WSB1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"MOGS"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"MOGS"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"LST1"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"LST1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"LAIR1"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"LAIR1"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"FPR2"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"FPR2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"LILRB3"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"LILRB3"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"YWHAE"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"YWHAE"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"LILRA2"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"LILRA2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"SH3BP2"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"SH3BP2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"KIR2DL2"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"KIR2DL2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"POU2F2"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"POU2F2"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"KCNJ15"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"KCNJ15"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
""	"20111007-hipciof_gene_corr_21743478"	"2011.10.07"	"hipciof_gene_corr_34"	"peripheral blood mononuclear cell"	"RAB7A"	"gene expression"	"positively"	"none"	"3"	"Days"	"2008, 2007, 2009"	"Fluarix; Fluvirin"	""	"correlated with HAI response at 28d"	"time of vaccination (first dose)"	"adults (18-50)"	"21743478"	"2011"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=21743478"	"14"	"237"	"RAB7A"	"VO_0000045"	"VO_0000046"	"Influenza A virus (A/Brisbane/59/2007(H1N1))"	"Influenza A virus (A/Brisbane/10/2007(H3N2))"	"Influenza B virus (B/Florida/4/2006)"	"Influenza A virus (A/Solomon Islands/3/2006(H1N1))"	"Influenza A virus (A/Wisconsin/67/2005(H3N2))"	"Influenza B virus (B/Malaysia/2506/2004)"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_21743478_237.txt"	"hipciof_gene_corr_complete_21743478_237.txt"
