""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_agent"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"publication_reference_url"	"subObsID"	"uniqObsID"	"response_agent_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"KIAA0513"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"KIAA0513"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"TTC4"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"TTC4"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"TBC1D2"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"TBC1D2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ANGPT1"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"ANGPT1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"UBE2D1"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"UBE2D1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"LHFPL2"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"LHFPL2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"ITGAX"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"ITGAX"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"PLXNC1"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"PLXNC1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"LACTB"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"LACTB"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"PLXND1"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"PLXND1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"MYADM"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"MYADM"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"LATS2"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"LATS2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"DSE"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"DSE"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SKAP2"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"SKAP2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SRC"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"SRC"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"DOCK8-AS1"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"C9orf66"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"LYN"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"LYN"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"LOC100130950"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"LOC100130950"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"COL24A1"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"COL24A1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SAP30"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"SAP30"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"DLC1"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"DLC1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"HSPG2"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"HSPG2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SOWAHC"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"ANKRD57"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"PIK3CG"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"PIK3CG"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"LYST"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"LYST"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"PNOC"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"PNOC"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"PLEKHO2"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"PLEKHO2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"GABARAPL3"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"GABARAPL3"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"OTUD1"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"OTUD1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"GALNT3"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"GALNT3"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"VPS37C"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"VPS37C"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SAT1"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"SAT1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"MAFG"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"MAFG"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SBF2"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"SBF2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"IL17RC"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"IL17RC"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"RP2"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"RP2"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"TNFRSF1B"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"TNFRSF1B"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
""	"20171107-hipciof_gene_corr_27317456"	"2017.11.07"	"hipciof_gene_corr_31"	"peripheral blood mononuclear cell"	"SYT1"	"gene expression"	"positively"	"none"	"28"	"Days"	"2010"	"Fluarix"	""	"correlated with memory B cell response at 28d"	"time of vaccination (first dose)"	"seniors (50-74)"	"27317456"	"2016"	"https://www.ncbi.nlm.nih.gov/pubmed/?term=27317456"	"5"	"211"	"SYT1"	"VO_0000045"	"VO_0001176"	"Influenza A virus (A/California/7/2009(H1N1))"	"Influenza A virus (A/Perth/16/2009(H3N2))"	"Influenza B virus (B/Brisbane/60/2008)"	"hipciof_gene_corr_27317456_211.txt"	"hipciof_gene_corr_complete_27317456_211.txt"
