""	"submission_name"	"submission_date"	"template_name"	"tissue_type"	"response_component"	"response_behavior_type"	"response_behavior"	"subgroup"	"time_point"	"time_point_units"	"vaccine_year"	"exposure_material_text"	"additional_exposure_material"	"comparison"	"baseline_time"	"cohort"	"publication_reference"	"publication_year"	"signature_source"	"comments"	"publication_reference_url"	"age_group"	"age_min"	"age_max"	"age_units"	"subObsID"	"uniqObsID"	"response_component_original"	"exposure_material_1"	"exposure_material_2"	"target_pathogen_1"	"target_pathogen_2"	"target_pathogen_3"	"signature_file"	"complete_signature_file"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"FGFBP3"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"10"	"258"	"FGFBP3"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_258.txt"	"hipc_gene_dir_complete_24495909_258.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"MYBPH"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"10"	"258"	"MYBPH"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_258.txt"	"hipc_gene_dir_complete_24495909_258.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"RSC1A1"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"10"	"258"	"RSC1A1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_258.txt"	"hipc_gene_dir_complete_24495909_258.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"BMF"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"10"	"258"	"BMF"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_258.txt"	"hipc_gene_dir_complete_24495909_258.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"TBC1D17"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"10"	"258"	"TBC1D17"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_258.txt"	"hipc_gene_dir_complete_24495909_258.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"RASGRP4"	"gene expression"	"down"	"none"	"7"	"Days"	"2010"	"FluMist"	""	"7d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"10"	"258"	"RASGRP4"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_258.txt"	"hipc_gene_dir_complete_24495909_258.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"TERF1"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"11"	"259"	"TERF1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_259.txt"	"hipc_gene_dir_complete_24495909_259.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"FLVCR1"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"11"	"259"	"FLVCR1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_259.txt"	"hipc_gene_dir_complete_24495909_259.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"IL3RA"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"11"	"259"	"IL3RA"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_259.txt"	"hipc_gene_dir_complete_24495909_259.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"DSCC1"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"11"	"259"	"DSCC1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_259.txt"	"hipc_gene_dir_complete_24495909_259.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"PPP1R3F"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"11"	"259"	"PPP1R3F"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_259.txt"	"hipc_gene_dir_complete_24495909_259.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"PSMG3-AS1"	"gene expression"	"up"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"11"	"259"	"PSMG3-AS1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_259.txt"	"hipc_gene_dir_complete_24495909_259.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"MGAM2"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"12"	"260"	"MGAM2"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_260.txt"	"hipc_gene_dir_complete_24495909_260.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"HEMGN"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"12"	"260"	"HEMGN"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_260.txt"	"hipc_gene_dir_complete_24495909_260.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"SERPINA1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"12"	"260"	"SERPINA1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_260.txt"	"hipc_gene_dir_complete_24495909_260.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"NFAT5"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"12"	"260"	"NFTA5"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_260.txt"	"hipc_gene_dir_complete_24495909_260.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"LSMEM1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"12"	"260"	"LSMEM1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_260.txt"	"hipc_gene_dir_complete_24495909_260.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"WASHC2A"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"12"	"260"	"WASHC2A"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_260.txt"	"hipc_gene_dir_complete_24495909_260.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"VPS41"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"12"	"260"	"VPS41"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_260.txt"	"hipc_gene_dir_complete_24495909_260.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"XCR1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"12"	"260"	"XCR1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_260.txt"	"hipc_gene_dir_complete_24495909_260.txt"
""	"hipc_gene_dir_24495909"	"2014.07"	"hipc_gene_dir_36"	"blood"	"CBR1"	"gene expression"	"down"	"none"	"30"	"Days"	"2010"	"FluMist"	""	"30d-0d"	"time of vaccination (first dose)"	"children (0.5-14y)"	"24495909"	"2014"	"Suppl Table 1"	"~80% of cohort were white, ~50/50 Female:male  "	"https://www.ncbi.nlm.nih.gov/pubmed/?term=24495909"	"infants, children"	"0.5"	"14"	"years"	"12"	"260"	"CBR1"	"VO_0000047"	"VO_0000044"	"influenza A virus (A/California/7/2009(H1N1))"	"influenza A virus (A/Perth/16/2009(H3N2))"	"influenza B virus (B/Brisbane/60/2008)"	"hipc_gene_dir_24495909_260.txt"	"hipc_gene_dir_complete_24495909_260.txt"
